sentence,stance_type,cue,start,end,section,page
The study has shown that there were differences in metaphorical language use at different year levels.,boosting,shown,3,4,,
"The study has shown that learners had low awareness of the metaphorical nature of the language they used, and that the underlying thoughts behind their metaphorical language use involved more non- metaphoric than metaphoric thinking.",boosting,shown,3,4,,
I owe them a big debt of gratitude that even metaphors fail to confer.,self_mention,i,0,1,,
"I would like to thank Jean Parkinson for working with me initially on the project, Paul Nation for always trying to answer my questions, and Luuk van Waes for helping me to figure out InputLog.",self_mention,i,0,1,,
"I would like to thank Jean Parkinson for working with me initially on the project, Paul Nation for always trying to answer my questions, and Luuk van Waes for helping me to figure out InputLog.",self_mention,my,23,24,,
"I sincerely thank the examiners of my thesis, Derek Wallace, John Taylor and Jeannette Littlemore, for their supportive and insightful feedback on my work and for their input for future research.",self_mention,i,0,1,,
"I sincerely thank the examiners of my thesis, Derek Wallace, John Taylor and Jeannette Littlemore, for their supportive and insightful feedback on my work and for their input for future research.",self_mention,my,6,7,,
"I sincerely thank the examiners of my thesis, Derek Wallace, John Taylor and Jeannette Littlemore, for their supportive and insightful feedback on my work and for their input for future research.",self_mention,my,25,26,,
"I wish to thank Victoria University of Wellington for awarding me the Doctoral Scholarship, the Faculty of Humanities for funding my trips to collect data and present my research findings, and the Faculty of Graduate Research for giving me the Submission Scholarship, all of which have enabled me to complete this project.",self_mention,i,0,1,,
"I wish to thank Victoria University of Wellington for awarding me the Doctoral Scholarship, the Faculty of Humanities for funding my trips to collect data and present my research findings, and the Faculty of Graduate Research for giving me the Submission Scholarship, all of which have enabled me to complete this project.",self_mention,my,21,22,,
"I wish to thank Victoria University of Wellington for awarding me the Doctoral Scholarship, the Faculty of Humanities for funding my trips to collect data and present my research findings, and the Faculty of Graduate Research for giving me the Submission Scholarship, all of which have enabled me to complete this project.",self_mention,my,28,29,,
A heart-felt thank you goes out to the teaching staff at the School of Linguistics and Applied Language Studies at Victoria for helping me lay the foundations for my scholarly life.,self_mention,my,28,29,,
"My special thanks go to the teachers in Vietnam, many of whom I have not met, who helped me to collect and rate the essays in Study 1.",self_mention,my,0,1,,
"My special thanks go to the teachers in Vietnam, many of whom I have not met, who helped me to collect and rate the essays in Study 1.",self_mention,i,13,14,,
"Thanks are extended to the students who spent time writing the essays for me, and especially the fifteen students with whom I worked during my trip to Vietnam.",self_mention,i,22,23,,
"Thanks are extended to the students who spent time writing the essays for me, and especially the fifteen students with whom I worked during my trip to Vietnam.",self_mention,my,25,26,,
"I especially thank Trương Bạch Lê for introducing me to the teachers and students, and for collecting data for me.",self_mention,i,0,1,,
I would not have been able to finish this project without support from my family.,self_mention,i,0,1,,
I would not have been able to finish this project without support from my family.,self_mention,my,13,14,,
"My parents took care of my daughter, who is the twin sibling of this thesis, while I collected the data; and my father and my little sister came to Wellington to babysit her in the most important stages of the project.",self_mention,my,0,1,,
"My parents took care of my daughter, who is the twin sibling of this thesis, while I collected the data; and my father and my little sister came to Wellington to babysit her in the most important stages of the project.",self_mention,my,5,6,,
"My parents took care of my daughter, who is the twin sibling of this thesis, while I collected the data; and my father and my little sister came to Wellington to babysit her in the most important stages of the project.",self_mention,i,18,19,,
"My parents took care of my daughter, who is the twin sibling of this thesis, while I collected the data; and my father and my little sister came to Wellington to babysit her in the most important stages of the project.",self_mention,my,24,25,,
"My parents took care of my daughter, who is the twin sibling of this thesis, while I collected the data; and my father and my little sister came to Wellington to babysit her in the most important stages of the project.",self_mention,my,27,28,,
"Finally, I wish to thank my husband for, of course, everything!",self_mention,i,2,3,,
"Finally, I wish to thank my husband for, of course, everything!",self_mention,my,6,7,,
Yet our understanding of metaphor – particularly metaphor production – is still limited.,self_mention,our,1,2,,
Our knowledge of how metaphors are produced by second language (L2)1 learners is even more scanty.,self_mention,our,0,1,,
"However, as we look closely enough, writing actually starts with the metaphors that writers use to conceptualize their writing and grows with the metaphorical language that writers use.",self_mention,we,3,4,,
An ever-growing body in cognitive linguistics has provided unequivocal evidence that metaphor structures our thoughts and behaviours and defines the way we make meaning.,self_mention,our,13,14,,
An ever-growing body in cognitive linguistics has provided unequivocal evidence that metaphor structures our thoughts and behaviours and defines the way we make meaning.,self_mention,we,21,22,,
"L2 learners may not know of this asset of metaphorical language, but it is only natural that they use it in L2 production, which is confounded by a range of linguistic, cognitive and socio-cultural factors.",hedging,may,2,3,,
"Currently, we have more questions than answers.",self_mention,we,2,3,,
"We may apply (a) the name of a genus to one of its species, or (b) the name of a species to its genus, or (c) the name of one species to another of the same genus, or (d) the transfer may be based on a proportion.",self_mention,we,0,1,,
"We may apply (a) the name of a genus to one of its species, or (b) the name of a species to its genus, or (c) the name of one species to another of the same genus, or (d) the transfer may be based on a proportion.",hedging,may,1,2,,
"We may apply (a) the name of a genus to one of its species, or (b) the name of a species to its genus, or (c) the name of one species to another of the same genus, or (d) the transfer may be based on a proportion.",hedging,may,52,53,,
"[…] The meaning of metaphor by analogy is that when among four things the second is related to the first as the fourth is related to the third, one may substitute the fourth for the second or the second for the fourth.",hedging,may,32,33,,
"And sometimes the term related to the proper term in the analogy is added to the metaphor, thus: The wine cup is to Dionysus as the shield is to Ares, and therefore one may call a wine cup “the shield of Dionysus” and the shield “the wine cup of Ares.” (pp.",hedging,may,36,37,,
"67–68) In this light, metaphor seems to be implied analogies or elliptical similes (Gibbs, 1994).",hedging,seems,7,8,,
Kittay’s (1987) analysis of Aristotle’s approach to metaphor has also shown that he “almost hit upon” (pp.,boosting,shown,16,17,,
"In Metaphors We Live By, Lakoff and Johnson (1980) presented the Conceptual Metaphor Theory, which asserts the pervasiveness and systematicity of metaphorical language and thought.",self_mention,we,2,3,,
"Lakoff and Johnson (1980) describe a domain as “a structured whole within our experience that is conceptualized as what we have called an experiential gestalt” (p. 117, italics in the original).",self_mention,our,15,16,,
"Lakoff and Johnson (1980) describe a domain as “a structured whole within our experience that is conceptualized as what we have called an experiential gestalt” (p. 117, italics in the original).",self_mention,we,22,23,,
"are projected onto TIME, allowing us to talk about budgeting time, saving time, using time profitably or losing time.",self_mention,us,6,7,,
"These mappings are grounded in, or motivated by, our bodily, physical, and cultural experiences as we live in the world (Gibbs, 1994; M. Johnson, 1987; Kövecses, 2010; Lakoff, 1987b; Lakoff & Johnson, 1980).",self_mention,our,10,11,,
"These mappings are grounded in, or motivated by, our bodily, physical, and cultural experiences as we live in the world (Gibbs, 1994; M. Johnson, 1987; Kövecses, 2010; Lakoff, 1987b; Lakoff & Johnson, 1980).",self_mention,we,19,20,,
"Lakoff (1987b) postulates that mappings are realized from one ‘idealized cognitive model’ (structures of thought) in one domain to an ‘idealized cognitive model’ in another domain.3 The conceptual mappings that give rise to metaphor have been proved psychologically real with evidence of the systematicity of the mappings, the gestures motivated by metaphorical understandings in spoken language, and the consistencies in image schemas (see Grady, 2007).",boosting,proved,44,45,,
"We therefore can talk of have, give, treasure, lose time and use, use up, have enough of, run out of time.",self_mention,we,0,1,,
"Primary metaphors appear in simple patterns and source from simple concepts like up, down, hot, cold, backward, forward.",hedging,appear,2,3,,
"In Gibbs’ (1994) words, “figuration is not an escape from reality but constitutes the way we ordinarily understand ourselves and the world in which we live” (p. 454).",self_mention,we,20,21,,
"In Gibbs’ (1994) words, “figuration is not an escape from reality but constitutes the way we ordinarily understand ourselves and the world in which we live” (p. 454).",self_mention,we,29,30,,
"The Blending Theory, developed by Fauconnier and Turner (1994, 1996, 1998), treats metaphors as products of a cognitive operation of conceptual integration (or blending) which includes four “mental spaces” – “small conceptual packets constructed as we think and talk, for purposes of local understanding and action” (Fauconnier & Turner, 1996, p. 113).",self_mention,we,46,47,,
"Indeed, it has been shown that metaphorical linguistic expressions and their grammatical stability and frequency not only support the existence of the conceptual metaphors but also exhibit their independence of the conceptual metaphors (Casasanto, 2009; Deignan, 2005, 2006, 2008a).",boosting,shown,5,6,,
"These applied analyses have demonstrated that the Conceptual Metaphor Theory fails to account for the social dimensions of language in use (Cameron et al., 2009; Cameron & Low, 1999; Low, Todd, Deignan, & Cameron, 2010; Zinken & Musolff, 2009).",boosting,demonstrated,4,5,,
"For example, to show someone the ropes acquires the meaning of to teach someone how to do something, especially a job thanks to its original domain of sailing where an experienced sailor would teach an apprentice how to handle the ropes of a mast.",boosting,show,4,5,,
"Learners who are aware of the motivated nature of language are more likely to learn it in a cognitively, affectively and pragmatically effective way (Boers & Lindstromberg, 2006, 2008c).",hedging,likely,12,13,,
Kalyuga and Kalyuga (2008) suggest raising metaphor awareness by presenting vocabulary in metaphorical chunks in conjunction with activating learners’ prior knowledge to reduce a potential cognitive overload.,hedging,suggest,6,7,,
"Metaphor awareness-raising activities can also aid L2 learners in the reading of literature both in immediate and delayed interpretation, as shown in Picken (2005, 2007).",boosting,shown,21,22,,
Awareness-raising activities are generally found to be more effective than rote learning activities because they call learners’ attention to the metaphoric nature of language.,hedging,generally,3,4,,
Their experiments showed significant difference in learners’ performance in both immediate and delayed post-tests (correct key words rather than full phrase counted as correct answers).,boosting,showed,2,3,,
The latter proved to be more effective as the participants performed better in both the after-task cloze test and the comprehension test.,boosting,proved,2,3,,
"Conceptual Metaphor Theory-based instruction relies on the interactive properties between the source and target domains of metaphors and gives students a rationale to ponder upon why the phrases mean what they mean, which likely explains the learning gain.",hedging,likely,34,35,,
